"GEO_ID","id",
"B08526_040M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Professional, scientific, and management, and administrative and waste management services",
"B08526_041E","Estimate!!Total!!Car, truck, or van - carpooled!!Educational services, and health care and social assistance",
"B08526_041M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Educational services, and health care and social assistance",
"B08526_042E","Estimate!!Total!!Car, truck, or van - carpooled!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_042M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_043E","Estimate!!Total!!Car, truck, or van - carpooled!!Other services (except public administration)",
"B08526_043M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Other services (except public administration)",
"B08526_044E","Estimate!!Total!!Car, truck, or van - carpooled!!Public administration",
"B08526_044M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Public administration",
"B08526_045E","Estimate!!Total!!Car, truck, or van - carpooled!!Armed forces",
"B08526_045M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Armed forces",
"B08526_046E","Estimate!!Total!!Public transportation (excluding taxicab)",
"B08526_046M","Margin of Error!!Total!!Public transportation (excluding taxicab)",
"B08526_047E","Estimate!!Total!!Public transportation (excluding taxicab)!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_047M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_048E","Estimate!!Total!!Public transportation (excluding taxicab)!!Construction",
"B08526_048M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Construction",
"B08526_049E","Estimate!!Total!!Public transportation (excluding taxicab)!!Manufacturing",
"B08526_049M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Manufacturing",
"B08526_050E","Estimate!!Total!!Public transportation (excluding taxicab)!!Wholesale trade",
"B08526_050M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Wholesale trade",
"B08526_051E","Estimate!!Total!!Public transportation (excluding taxicab)!!Retail trade",
"B08526_051M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Retail trade",
"B08526_052E","Estimate!!Total!!Public transportation (excluding taxicab)!!Transportation and warehousing, and utilities",
"B08526_052M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Transportation and warehousing, and utilities",
"B08526_053E","Estimate!!Total!!Public transportation (excluding taxicab)!!Information",
"B08526_053M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Information",
"B08526_054E","Estimate!!Total!!Public transportation (excluding taxicab)!!Finance and insurance, and real estate and rental and leasing",
"B08526_054M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Finance and insurance, and real estate and rental and leasing",
"B08526_055E","Estimate!!Total!!Public transportation (excluding taxicab)!!Professional, scientific, and management, and administrative and waste management services",
"B08526_055M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Professional, scientific, and management, and administrative and waste management services",
"B08526_056E","Estimate!!Total!!Public transportation (excluding taxicab)!!Educational services, and health care and social assistance",
"B08526_056M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Educational services, and health care and social assistance",
