"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_002E","B19001I_002M","B19001I_003E","B19001I_003M","B19001I_004E","B19001I_004M","B19001I_005E","B19001I_005M","B19001I_006E","B19001I_006M","B19001I_007E","B19001I_007M","B19001I_008E","B19001I_008M","B19001I_009E","B19001I_009M","B19001I_010E","B19001I_010M","B19001I_011E","B19001I_011M","B19001I_012E","B19001I_012M","B19001I_013E","B19001I_013M","B19001I_014E","B19001I_014M","B19001I_015E","B19001I_015M","B19001I_016E","B19001I_016M","B19001I_017E","B19001I_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36031","Essex County, New York","120","84","29","54","17","26","13","13","0","25","0","25","12","27","8","15","0","25","0","25","22","28","8","12","0","25","0","25","0","25","0","25","11","15"
"0500000US36057","Montgomery County, New York","2209","170","506","130","225","83","168","82","124","61","181","74","65","41","131","71","66","51","56","43","151","95","177","88","122","67","123","53","80","75","23","28","11","16"
"0500000US36059","Nassau County, New York","54041","995","1800","346","1468","318","1586","311","1940","328","2009","373","1707","333","1776","324","2043","272","1527","282","3481","470","4935","583","7214","521","5541","436","4396","461","6403","569","6215","496"
"0500000US36085","Richmond County, New York","25545","685","3837","516","1252","287","780","174","871","290","929","263","817","235","881","301","823","214","974","253","1789","300","2021","338","3236","474","2421","382","1683","280","1945","333","1286","269"
"0500000US36097","Schuyler County, New York","47","42","0","19","7","11","0","19","10","17","0","19","0","19","0","19","0","19","0","19","7","10","0","19","7","11","0","19","7","11","9","14","0","19"
"0500000US36109","Tompkins County, New York","1163","192","225","125","36","36","69","46","6","10","52","43","182","84","9","16","48","50","56","52","75","50","124","68","141","79","54","51","13","15","39","44","34","36"
"0500000US36017","Chenango County, New York","372","60","17","18","5","7","60","52","29","26","13","16","18","19","3","4","0","25","2","3","21","23","63","42","47","29","42","40","3","6","20","21","29","31"
"0500000US36023","Cortland County, New York","427","116","21","33","88","71","23","32","64","89","16","25","11","18","42","47","0","25","13","16","20","22","39","35","62","44","21","38","0","25","7","8","0","25"
"0500000US36045","Jefferson County, New York","2104","187","196","105","17","14","29","27","130","71","163","84","209","89","93","53","189","102","188","100","219","104","310","123","195","98","82","52","53","36","8","13","23","19"
"0500000US36065","Oneida County, New York","3210","272","446","136","324","114","355","137","404","141","168","87","163","64","195","113","161","92","59","38","253","115","251","83","102","53","98","59","112","61","47","45","72","44"
"0500000US36103","Suffolk County, New York","62163","1261","2095","340","2645","488","1985","370","1612","333","1621","364","2489","470","1641","359","1649","301","2388","387","4004","498","6183","678","9027","756","7114","640","5277","532","6964","683","5469","530"
"0500000US36121","Wyoming County, New York","233","84","7","12","33","48","25","32","23","30","0","25","25","26","7","10","0","25","27","48","5","8","0","25","51","40","13","16","0","25","14","13","3","5"
"0500000US36015","Chemung County, New York","674","116","156","93","99","70","13","22","80","65","28","30","0","28","25","28","0","28","9","15","45","59","47","40","28","25","26","26","32","33","66","62","20","30"
"0500000US36075","Oswego County, New York","898","130","269","133","68","51","90","70","24","36","42","56","7","11","30","48","50","56","30","30","65","63","36","33","35","28","67","59","0","28","4","6","81","55"
"0500000US36077","Otsego County, New York","417","87","37","40","40","40","15","18","7","13","49","36","4","6","6","6","45","44","0","28","39","45","82","54","40","32","38","33","2","4","6","10","7","8"
"0500000US36117","Wayne County, New York","871","128","43","30","111","71","54","46","71","48","51","45","26","26","57","49","10","18","10","13","68","44","180","89","58","38","39","35","27","22","50","44","16","20"
"0500000US36001","Albany County, New York","5632","317","773","209","373","158","323","138","399","144","284","139","305","117","440","168","163","90","323","126","455","171","435","169","517","166","289","122","96","58","283","146","174","79"
"0500000US36007","Broome County, New York","2526","197","522","133","322","167","113","77","186","86","122","52","151","75","155","103","55","40","21","22","213","86","105","75","262","102","138","82","85","67","30","42","46","38"
"0500000US36029","Erie County, New York","15354","546","2704","342","1921","269","1298","272","1190","246","734","194","854","223","705","198","751","197","553","179","750","181","962","175","1037","216","739","193","571","150","288","103","297","103"
"0500000US36053","Madison County, New York","271","81","5","7","0","28","0","28","13","21","8","14","4","6","16","31","6","10","18","23","53","60","10","12","52","49","29","37","5","7","23","30","29","29"
"0500000US36105","Sullivan County, New York","3308","284","224","93","292","157","410","143","162","99","141","103","219","111","77","56","276","101","136","75","117","52","413","128","514","146","183","88","61","42","44","39","39","30"
"0500000US36037","Genesee County, New York","479","119","31","33","23","33","9","11","45","35","56","47","124","101","0","28","36","44","30","29","45","51","48","32","23","23","4","6","0","28","0","28","5","9"
"0500000US36071","Orange County, New York","20763","516","1385","290","805","218","1010","241","791","184","717","218","916","209","1087","255","888","222","731","179","1369","223","1873","348","2389","337","1955","315","1752","291","1976","286","1119","264"
"0500000US36005","Bronx County, New York","266192","1544","40532","1525","30184","1390","22130","1144","18194","1072","14918","935","14396","847","12949","841","12020","930","9929","783","19022","1052","19890","805","22611","1212","13039","798","6072","509","6241","567","4065","444"
"0500000US36035","Fulton County, New York","405","107","28","26","34","48","82","76","25","24","61","72","2","3","15","25","4","8","27","33","57","56","5","10","19","17","9","13","19","19","12","16","6","12"
"0500000US36083","Rensselaer County, New York","2241","162","299","117","128","70","135","84","73","52","183","113","133","94","273","106","11","19","59","45","230","105","146","75","177","96","172","77","138","84","42","39","42","37"
"0500000US36027","Dutchess County, New York","9059","450","443","168","414","114","361","132","610","165","630","190","380","139","240","119","298","130","358","173","686","190","789","192","1215","240","861","168","755","174","622","146","397","110"
"0500000US36043","Herkimer County, New York","269","80","32","38","3","7","51","58","9","14","16","22","4","7","0","28","2","3","0","28","59","34","26","21","62","59","0","28","5","8","0","28","0","28"
"0500000US36089","St. Lawrence County, New York","235","81","34","28","16","19","6","8","4","8","3","4","12","19","1","2","0","28","19","23","57","39","17","13","24","20","13","15","6","7","11","15","12","17"
"0500000US36113","Warren County, New York","483","91","2","4","74","55","32","28","128","95","27","27","9","16","0","28","0","28","4","7","11","17","127","57","8","11","35","25","9","8","14","14","3","4"
"0500000US36055","Monroe County, New York","19697","563","3023","338","2240","338","1596","287","1243","238","1369","271","1089","244","980","197","900","214","716","212","1445","330","1246","219","1696","276","943","186","321","114","569","141","321","98"
"0500000US36111","Ulster County, New York","4212","290","247","89","358","144","173","90","238","107","291","106","219","107","313","139","160","92","216","89","286","100","431","122","521","164","186","74","234","89","219","97","120","66"
"0500000US36051","Livingston County, New York","513","100","65","45","51","45","48","39","21","26","21","23","0","28","31","45","24","33","41","36","26","26","71","51","86","54","11","16","7","8","3","5","7","8"
"0500000US36039","Greene County, New York","618","132","6","9","93","71","24","20","0","25","109","88","12","21","0","25","103","83","8","14","39","38","82","68","46","39","77","64","19","28","0","25","0","25"
"0500000US36003","Allegany County, New York","41","39","8","10","2","4","16","18","1","2","1","2","2","4","0","25","0","25","0","25","4","11","3","5","2","8","2","3","0","25","0","25","0","25"
"0500000US36009","Cattaraugus County, New York","308","51","14","13","18","15","25","21","9","10","24","17","68","38","36","29","13","12","6","7","15","15","10","9","23","17","28","33","0","28","19","24","0","28"
"0500000US36093","Schenectady County, New York","2937","266","295","116","316","151","297","175","189","96","109","60","59","59","168","115","223","133","94","72","242","138","152","117","376","146","162","85","66","46","57","38","132","88"
"0500000US36123","Yates County, New York","134","56","42","42","9","14","0","22","5","9","0","22","0","22","23","36","0","22","0","22","8","13","7","10","31","37","0","22","0","22","9","14","0","22"
