"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_002E","B19001H_002M","B19001H_003E","B19001H_003M","B19001H_004E","B19001H_004M","B19001H_005E","B19001H_005M","B19001H_006E","B19001H_006M","B19001H_007E","B19001H_007M","B19001H_008E","B19001H_008M","B19001H_009E","B19001H_009M","B19001H_010E","B19001H_010M","B19001H_011E","B19001H_011M","B19001H_012E","B19001H_012M","B19001H_013E","B19001H_013M","B19001H_014E","B19001H_014M","B19001H_015E","B19001H_015M","B19001H_016E","B19001H_016M","B19001H_017E","B19001H_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36083","Rensselaer County, New York","56388","528","2254","316","2071","351","1860","254","2348","376","2495","331","2366","347","1958","305","2406","297","2324","308","4336","487","6045","516","8304","531","6005","386","4256","434","4154","415","3206","356"
"0500000US36027","Dutchess County, New York","84147","788","2934","404","3192","453","2398","302","2683","338","2812","296","2821","338","2901","341","2489","305","2718","356","5696","517","7923","544","11643","634","9975","564","6697","523","8662","541","8603","485"
"0500000US36043","Herkimer County, New York","23877","414","1237","234","1297","226","1406","239","1261","178","1470","200","1299","197","1133","139","1312","199","1072","193","2013","237","2753","259","3325","308","2035","212","953","150","851","151","460","100"
"0500000US36089","St. Lawrence County, New York","40430","458","2432","361","2906","353","2709","338","2414","311","2198","245","2254","315","1957","223","2062","223","1499","190","3453","267","3983","308","5276","373","3315","296","1635","202","1329","208","1008","151"
"0500000US36113","Warren County, New York","26392","420","1165","211","1220","168","1216","202","1113","196","1311","207","1237","210","1160","212","1304","206","1139","180","2280","285","2725","221","3730","343","2781","329","1632","216","1326","190","1053","161"
"0500000US36055","Monroe County, New York","228254","1084","9357","653","8014","572","9123","648","9624","605","10047","630","10512","711","9785","652","10352","649","8735","582","17725","787","24219","842","31380","1028","24864","912","15208","707","15818","655","13491","588"
"0500000US36111","Ulster County, New York","60127","808","2698","332","3043","376","2816","396","2428","305","2655","309","2482","310","2407","326","2313","365","2038","271","4352","432","6575","515","7777","554","6125","486","4124","408","4348","386","3946","333"
"0500000US36051","Livingston County, New York","23105","376","1113","236","1130","221","1263","224","1154","192","926","201","1112","203","1227","238","1139","220","1052","248","1942","257","2582","274","3226","300","2539","226","1121","155","1039","161","540","128"
"0500000US36039","Greene County, New York","15954","486","968","203","1059","248","860","196","821","179","917","158","854","167","710","154","655","124","640","176","1374","254","1492","239","2264","298","1358","212","712","149","760","144","510","103"
"0500000US36003","Allegany County, New York","17616","323","1146","169","1086","156","1107","131","1163","155","837","95","972","127","938","145","1153","139","1039","148","1432","143","1989","176","2228","172","1262","135","637","103","372","77","255","57"
"0500000US36009","Cattaraugus County, New York","29468","349","1680","206","2067","269","1782","192","1928","183","1661","188","1722","189","1503","177","1565","165","1290","152","2657","247","3060","222","3777","234","2187","184","1264","160","782","136","543","114"
"0500000US36093","Schenectady County, New York","42377","914","1497","243","1890","315","1696","289","1725","258","1656","261","1659","233","1511","196","1744","229","1678","211","3065","354","4697","359","6075","457","5081","399","2983","277","3166","317","2254","263"
"0500000US36123","Yates County, New York","8788","267","453","101","393","99","572","151","469","129","433","96","539","139","411","87","384","91","438","81","669","103","850","120","1178","133","848","139","388","94","463","124","300","85"
