"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36117","Wayne County, New York","90856","*****","84701","301","2631","186","144","77","606","120","78","81","786","249","1910","239","255","122","1655","217"
"0500000US36001","Albany County, New York","307426","*****","232402","864","38407","905","516","188","19928","421","133","70","4527","919","11513","1120","1130","453","10383","1090"
"0500000US36007","Broome County, New York","194402","*****","167041","427","11177","632","392","150","8238","367","89","56","1791","384","5674","699","511","200","5163","648"
"0500000US36029","Erie County, New York","919866","*****","716987","1030","123475","1131","4558","368","31800","657","309","68","20247","1311","22490","1215","4132","625","18358","1210"
"0500000US36053","Madison County, New York","71359","*****","67574","175","1251","148","464","74","630","95","73","100","284","133","1083","175","151","81","932","170"
"0500000US36105","Sullivan County, New York","75211","*****","60702","737","6297","396","191","86","1198","108","0","28","3762","707","3061","548","232","198","2829","485"
"0500000US36037","Genesee County, New York","58112","*****","53404","169","1304","234","510","105","477","43","0","28","997","197","1420","264","47","47","1373","257"
"0500000US36071","Orange County, New York","378227","*****","279802","1992","40849","1121","1308","287","10034","486","229","120","32663","2153","13342","1337","4029","910","9313","1012"
"0500000US36005","Bronx County, New York","1437872","*****","306423","5706","490823","3298","9596","1049","52388","1194","1128","447","525040","7334","52474","2876","22111","1871","30363","2079"
"0500000US36035","Fulton County, New York","53743","*****","50849","196","1085","172","192","115","382","73","15","19","468","148","752","199","54","58","698","187"
"0500000US36083","Rensselaer County, New York","159431","*****","137648","471","10239","470","212","151","4134","241","9","15","1517","423","5672","548","310","161","5362","527"
"0500000US36027","Dutchess County, New York","293894","*****","230158","1301","30830","881","1061","399","10664","308","117","92","11711","1343","9353","840","1296","275","8057","805"
"0500000US36043","Herkimer County, New York","62505","*****","59916","210","849","186","150","62","331","67","93","121","313","163","853","162","102","61","751","167"
"0500000US36089","St. Lawrence County, New York","109558","*****","101766","171","2642","137","828","154","1153","98","68","3","1127","139","1974","234","253","83","1721","210"
"0500000US36113","Warren County, New York","64480","*****","61797","131","852","175","168","66","677","50","32","46","173","83","781","190","86","63","695","199"
"0500000US36055","Monroe County, New York","744248","*****","566271","1482","113538","1176","3378","521","26661","624","120","51","12226","1093","22054","1316","2921","623","19133","1216"
"0500000US36111","Ulster County, New York","179303","*****","152289","735","10615","561","368","144","3452","445","131","188","4969","661","7479","846","1421","452","6058","752"
"0500000US36051","Livingston County, New York","63907","*****","59696","183","1805","150","128","68","833","111","22","37","429","173","994","180","126","85","868","153"
"0500000US36039","Greene County, New York","47617","*****","42731","242","2936","228","281","137","516","77","5","8","489","235","659","270","77","80","582","262"
"0500000US36003","Allegany County, New York","47025","*****","44860","83","652","69","133","44","525","76","12","17","276","77","567","100","24","22","543","101"
"0500000US36009","Cattaraugus County, New York","77686","*****","71439","135","1247","164","2380","133","648","70","0","28","419","122","1553","234","129","57","1424","227"
"0500000US36093","Schenectady County, New York","154883","*****","119664","794","15965","815","351","134","7187","424","66","83","5180","1043","6470","882","1315","383","5155","747"
"0500000US36123","Yates County, New York","25009","*****","24061","144","226","52","53","38","189","27","7","9","164","116","309","73","23","33","286","59"
