"GEO_ID","NAME","B19001A_001E","B19001A_001M","B19001A_002E","B19001A_002M","B19001A_003E","B19001A_003M","B19001A_004E","B19001A_004M","B19001A_005E","B19001A_005M","B19001A_006E","B19001A_006M","B19001A_007E","B19001A_007M","B19001A_008E","B19001A_008M","B19001A_009E","B19001A_009M","B19001A_010E","B19001A_010M","B19001A_011E","B19001A_011M","B19001A_012E","B19001A_012M","B19001A_013E","B19001A_013M","B19001A_014E","B19001A_014M","B19001A_015E","B19001A_015M","B19001A_016E","B19001A_016M","B19001A_017E","B19001A_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36091","Saratoga County, New York","89073","715","2649","399","2329","312","2958","341","2813","459","2653","265","3150","408","2875","354","3604","422","3256","381","6571","657","8836","679","12981","662","10859","732","7711","567","8449","511","7379","496"
"0500000US36087","Rockland County, New York","74346","757","2563","304","2355","340","3075","372","2435","332","2521","295","2132","292","2078","261","2040","304","2089","297","4100","391","5585","451","7867","558","7423","490","6156","397","9029","532","12898","546"
"0500000US36021","Columbia County, New York","23374","435","1113","214","821","185","1176","173","1035","199","942","209","1104","184","982","182","896","179","896","192","1914","263","2386","266","3588","359","2223","260","1381","220","1530","192","1387","191"
"0500000US36049","Lewis County, New York","10053","219","415","63","638","141","431","67","372","68","589","111","650","100","644","122","478","109","536","97","901","127","1063","131","1403","168","816","124","488","77","375","74","254","73"
"0500000US36063","Niagara County, New York","79434","730","4387","428","3872","450","4224","398","3863","383","3639","349","3982","416","3863","396","3909","380","3426","338","6221","489","8363","504","10792","657","7234","493","4727","398","4429","449","2503","296"
"0500000US36119","Westchester County, New York","240737","1613","9364","664","6544","671","6383","539","7061","581","6448","472","6537","583","5874","569","6311","498","5510","456","12524","811","16329","809","23367","1005","22208","763","18271","743","26584","1112","61422","1112"
"0500000US36025","Delaware County, New York","18435","458","1084","181","1287","201","1188","195","1188","237","1040","136","939","137","821","159","1029","157","809","154","1683","261","2081","236","2177","241","1339","200","850","159","493","109","427","105"
"0500000US36031","Essex County, New York","15138","410","623","123","813","199","860","199","632","133","857","166","707","146","724","139","724","135","614","142","1451","212","1654","215","2174","258","1294","208","919","170","669","159","423","98"
"0500000US36057","Montgomery County, New York","17778","381","1104","190","1033","189","1140","175","1345","183","1188","179","870","149","802","165","909","146","733","129","1558","198","1969","207","2014","194","1305","195","658","118","763","150","387","114"
"0500000US36059","Nassau County, New York","333036","1470","8376","551","6728","545","7945","577","8451","591","8323","496","7673","607","7557","588","7757","525","6764","501","14734","704","22444","939","37162","1218","34176","1002","30134","1031","46733","1374","78079","1338"
"0500000US36085","Richmond County, New York","128344","1043","7802","621","4552","498","3826","433","4314","449","4290","466","3874","489","3385","420","3755","404","3636","452","7215","569","10267","755","16668","925","14531","784","11567","713","14851","840","13811","722"
"0500000US36097","Schuyler County, New York","7217","227","353","118","394","86","560","103","405","80","256","70","380","80","382","81","347","114","417","117","488","100","788","140","1159","188","655","134","325","84","217","71","91","44"
"0500000US36109","Tompkins County, New York","32785","516","2178","292","1387","261","1248","251","1365","216","1446","248","1759","215","1117","182","1284","216","1031","199","2643","320","3511","361","4287","389","2857","340","2017","260","2214","299","2441","283"
"0500000US36017","Chenango County, New York","19963","326","1111","173","1338","213","1237","209","1224","172","1116","162","1041","168","1039","147","994","147","792","127","1739","186","2348","231","2632","254","1551","216","736","105","673","105","392","102"
"0500000US36023","Cortland County, New York","16994","327","793","176","1056","202","728","152","791","137","753","148","892","158","844","171","835","153","987","178","1479","207","1817","219","2454","258","1311","144","889","145","826","123","539","114"
"0500000US36045","Jefferson County, New York","38879","707","2382","292","1975","302","1794","233","1961","282","2020","272","2184","294","1930","272","2107","255","1943","349","3356","277","4517","365","5407","396","3222","339","1937","211","1230","154","914","142"
"0500000US36065","Oneida County, New York","81119","859","4322","422","4428","429","3972","406","4207","358","4252","447","4225","408","3856","321","3544","345","3134","314","7113","415","9026","506","11213","552","6636","537","4554","395","3819","324","2818","305"
"0500000US36103","Suffolk County, New York","420217","2043","13186","857","10086","739","11133","729","11805","819","11253","723","11878","815","10323","671","11664","697","11200","731","23064","1014","33670","1015","52478","1423","47973","1383","38609","1083","55044","1521","66851","1495"
"0500000US36121","Wyoming County, New York","15435","230","681","111","717","123","716","131","860","161","721","129","670","130","709","128","787","133","649","141","1528","182","1900","177","2497","195","1476","161","736","129","514","109","274","80"
"0500000US36015","Chemung County, New York","31407","450","2058","313","1506","216","1684","235","1704","231","1640","249","1527","223","1270","198","1434","234","1492","196","2613","325","3656","305","4176","367","2739","296","1800","281","1148","217","960","176"
"0500000US36075","Oswego County, New York","44806","531","2894","318","2307","275","2197","267","2004","253","2245","339","2290","237","2262","310","2413","314","2178","304","3769","362","4741","369","5933","388","3965","314","2588","269","1729","228","1291","199"
"0500000US36077","Otsego County, New York","22703","426","1524","213","1133","178","1097","157","1258","188","1207","172","1188","159","1076","163","1143","174","988","126","2011","205","2551","252","2771","251","2048","187","1084","146","1012","152","612","107"
"0500000US36117","Wayne County, New York","35021","479","1419","197","1677","252","1380","200","1562","225","1936","295","2054","242","2037","252","1673","183","1434","194","3350","303","4094","369","4935","375","3035","273","1947","209","1570","198","918","134"
"0500000US36001","Albany County, New York","100436","751","4043","442","3741","417","3652","407","4226","412","3317","356","3781","388","3951","386","4515","543","3717","396","7388","570","9866","582","13736","621","10674","598","7698","523","8165","542","7966","451"
"0500000US36007","Broome County, New York","70726","752","4443","453","4291","387","3615","410","3553","315","3997","366","3640","374","3476","368","3192","292","3318","306","5876","494","7353","504","9117","629","5872","427","3773","374","3075","265","2135","265"
"0500000US36029","Erie County, New York","313205","1651","14748","817","14550","868","13848","820","14642","852","14369","763","14372","630","13058","642","13659","672","11772","678","24694","922","32931","1157","42555","1340","31509","1043","20952","900","20405","852","15141","801"
"0500000US36053","Madison County, New York","25258","448","1286","218","1007","180","1081","158","1221","224","1227","187","1214","207","1177","216","914","158","1158","193","2337","274","2937","310","3470","363","2610","255","1416","211","1244","183","959","163"
"0500000US36105","Sullivan County, New York","24119","648","1430","217","1288","244","1282","214","1103","226","1084","215","1333","256","1206","222","1012","200","961","211","1532","266","2701","320","3199","336","2036","235","1371","228","1497","228","1084","195"
"0500000US36037","Genesee County, New York","22013","365","1109","210","1148","211","864","144","1052","208","855","151","954","176","978","159","1070","168","836","153","1843","235","2481","232","3634","308","2122","212","1360","188","1094","175","613","137"
"0500000US36071","Orange County, New York","97268","988","3874","427","3714","466","3360","448","3699","385","3185","323","3434","318","3299","342","3257","345","3050","375","6013","411","7913","579","13153","750","10993","605","8865","612","10031","615","9428","524"
"0500000US36005","Bronx County, New York","118460","1727","13162","824","10494","754","8079","588","6973","628","5380","492","5528","544","4129","514","4423","425","3894","446","7846","583","9966","656","12022","734","8760","559","5186","506","6434","480","6184","366"
"0500000US36035","Fulton County, New York","21714","459","1174","201","1335","261","1158","235","1210","233","1340","180","1291","228","1078","189","1118","194","1044","184","2078","245","2378","285","2795","269","1629","223","843","154","780","157","463","131"
