testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-12,Otsego County,0,67,82,1965
2020-05-12,Putnam County,10,1108,138,5872
2020-05-12,Queens County,357,57748,3829,167397
2020-05-12,Rensselaer County,4,420,429,5406
2020-05-12,Richmond County,41,12810,806,42671
2020-05-12,Rockland County,39,12543,637,38519
2020-05-12,Saratoga County,3,410,196,7190
2020-05-12,Schenectady County,6,587,164,6231
2020-05-12,Schoharie County,1,47,27,916
2020-05-12,Schuyler County,0,8,32,628
2020-05-12,Seneca County,0,49,49,885
2020-05-12,St. Lawrence County,1,192,151,3724
2020-05-12,Steuben County,1,230,306,3378
2020-05-12,Suffolk County,243,37305,2950,120823
2020-05-12,Sullivan County,16,1135,89,5174
2020-05-12,Tioga County,1,108,92,1502
2020-05-12,Tompkins County,4,136,175,5440
2020-05-12,Ulster County,16,1481,314,11134
2020-05-12,Warren County,2,223,127,2304
2020-05-12,Washington County,4,214,66,1698
2020-05-12,Wayne County,1,84,168,2327
2020-05-12,Westchester County,139,31611,1925,115572
2020-05-12,Wyoming County,0,77,63,1204
2020-05-12,Yates County,1,22,23,468
2020-05-11,Albany County,23,1479,341,14911
2020-05-11,Allegany County,4,42,41,846
2020-05-11,Bronx County,145,41441,1510,121455
2020-05-11,Broome County,1,379,271,5512
2020-05-11,Cattaraugus County,0,61,29,1497
2020-05-11,Cayuga County,0,60,23,1267
2020-05-11,Chautauqua County,1,42,49,1791
2020-05-11,Chemung County,0,131,68,2830
2020-05-11,Chenango County,1,112,197,1630
2020-05-11,Clinton County,1,77,38,1182
2020-05-11,Columbia County,0,314,55,2307
2020-05-11,Cortland County,1,30,33,1526
2020-05-11,Delaware County,0,65,50,1111
2020-05-11,Dutchess County,21,3399,216,19528
2020-05-11,Erie County,47,4530,696,27437
2020-05-11,Essex County,0,32,12,800
2020-05-11,Franklin County,0,17,91,767
2020-05-11,Fulton County,26,135,100,1313
2020-05-11,Genesee County,1,174,77,1884
2020-05-11,Greene County,0,206,28,1613
2020-05-11,Hamilton County,0,5,0,61
2020-05-11,Herkimer County,0,81,42,1318
2020-05-11,Jefferson County,0,68,46,2188
2020-05-11,Kings County,259,50331,2984,157548
2020-05-11,Lewis County,0,11,16,656
2020-05-11,Livingston County,0,102,180,1783
2020-05-11,Madison County,0,251,17,2148
2020-05-11,Monroe County,40,1890,797,24215
2020-05-11,Montgomery County,0,67,62,1131
2020-05-11,Nassau County,97,38434,1558,119881
2020-05-11,New York County,129,24191,1984,94347
2020-05-11,Niagara County,16,671,186,5638
2020-05-11,Oneida County,7,676,161,6384
2020-05-11,Onondaga County,21,1308,329,15851
2020-05-11,Ontario County,0,107,74,2699
2020-05-11,Orange County,48,9632,516,35323
2020-05-11,Orleans County,3,133,31,1010
2020-05-11,Oswego County,1,76,53,2135
2020-05-11,Otsego County,0,67,62,1883
2020-05-11,Putnam County,0,1098,42,5734
2020-05-11,Queens County,211,57391,2552,163568
2020-05-11,Rensselaer County,5,416,91,4977
2020-05-11,Richmond County,22,12769,517,41865
2020-05-11,Rockland County,20,12504,368,37882
2020-05-11,Saratoga County,4,407,154,6994
2020-05-11,Schenectady County,6,581,102,6067
2020-05-11,Schoharie County,0,46,32,889
2020-05-11,Schuyler County,1,8,17,596
2020-05-11,Seneca County,0,49,25,836
2020-05-11,St. Lawrence County,1,191,18,3573
2020-05-11,Steuben County,1,229,90,3072
2020-05-11,Suffolk County,151,37062,1964,117873
2020-05-11,Sullivan County,10,1119,95,5085
2020-05-11,Tioga County,0,107,35,1410
2020-05-11,Tompkins County,0,132,91,5265
2020-05-11,Ulster County,11,1465,96,10820
2020-05-11,Warren County,4,221,40,2177
2020-05-11,Washington County,0,210,24,1632
2020-05-11,Wayne County,2,83,64,2159
2020-05-11,Westchester County,88,31472,984,113647
2020-05-11,Wyoming County,0,77,24,1141
2020-05-11,Yates County,0,21,15,445
2020-05-10,Albany County,24,1456,384,14570
2020-05-10,Allegany County,2,38,35,805
2020-05-10,Bronx County,237,41296,2140,119945
2020-05-10,Broome County,5,378,319,5241
2020-05-10,Cattaraugus County,1,61,103,1468
2020-05-10,Cayuga County,2,60,48,1244
2020-05-10,Chautauqua County,0,41,27,1742
2020-05-10,Chemung County,0,131,174,2762
2020-05-10,Chenango County,2,111,107,1433
2020-05-10,Clinton County,0,76,53,1144
2020-05-10,Columbia County,2,314,41,2252
2020-05-10,Cortland County,0,29,27,1493
2020-05-10,Delaware County,1,65,19,1061
2020-05-10,Dutchess County,19,3378,348,19312
2020-05-10,Erie County,30,4483,386,26741
2020-05-10,Essex County,0,32,31,788
2020-05-10,Franklin County,0,17,53,676
2020-05-10,Fulton County,2,109,59,1213
2020-05-10,Genesee County,1,173,182,1807
2020-05-10,Greene County,0,206,14,1585
2020-05-10,Hamilton County,0,5,0,61
2020-05-10,Herkimer County,2,81,57,1276
2020-05-10,Jefferson County,0,68,63,2142
2020-05-10,Kings County,255,50072,2825,154564
2020-05-10,Lewis County,0,11,65,640
2020-05-10,Livingston County,0,102,46,1603
2020-05-10,Madison County,0,251,23,2131
2020-05-10,Monroe County,29,1850,864,23418
2020-05-10,Montgomery County,0,67,30,1069
2020-05-10,Nassau County,120,38337,1756,118323
2020-05-10,New York County,85,24062,1496,92363
2020-05-10,Niagara County,12,655,176,5452
2020-05-10,Oneida County,9,669,269,6223
2020-05-10,Onondaga County,22,1287,240,15522
2020-05-10,Ontario County,1,107,92,2625
2020-05-10,Orange County,41,9584,402,34807
2020-05-10,Orleans County,4,130,40,979
2020-05-10,Oswego County,0,75,49,2082
2020-05-10,Otsego County,0,67,40,1821
2020-05-10,Putnam County,9,1098,122,5692
2020-05-10,Queens County,318,57180,2937,161016
2020-05-10,Rensselaer County,2,411,62,4886
2020-05-10,Richmond County,45,12747,493,41348
2020-05-10,Rockland County,33,12484,564,37514
2020-05-10,Saratoga County,1,403,170,6840
2020-05-10,Schenectady County,4,575,113,5965
2020-05-10,Schoharie County,0,46,19,857
2020-05-10,Schuyler County,0,7,14,579
2020-05-10,Seneca County,0,49,41,811
2020-05-10,St. Lawrence County,3,190,47,3555
2020-05-10,Steuben County,1,228,58,2982
2020-05-10,Suffolk County,209,36911,2014,115909
2020-05-10,Sullivan County,16,1109,78,4990
2020-05-10,Tioga County,2,107,40,1375
2020-05-10,Tompkins County,0,132,86,5174
2020-05-10,Ulster County,4,1454,135,10724
2020-05-10,Warren County,10,217,90,2137
2020-05-10,Washington County,4,210,39,1608
2020-05-10,Wayne County,1,81,72,2095
2020-05-10,Westchester County,90,31384,1321,112663
2020-05-10,Wyoming County,0,77,39,1117
2020-05-10,Yates County,0,21,15,430
2020-05-09,Albany County,16,1432,455,14186
2020-05-09,Allegany County,1,36,20,770
2020-05-09,Bronx County,255,41059,2935,117805
2020-05-09,Broome County,1,373,317,4922
2020-05-09,Cattaraugus County,0,60,21,1365
2020-05-09,Cayuga County,5,58,23,1196
2020-05-09,Chautauqua County,1,41,58,1715
2020-05-09,Chemung County,0,131,125,2588
2020-05-09,Chenango County,0,109,45,1326
2020-05-09,Clinton County,0,76,33,1091
2020-05-09,Columbia County,8,312,264,2211
2020-05-09,Cortland County,0,29,29,1466
2020-05-09,Delaware County,1,64,33,1042
2020-05-09,Dutchess County,40,3359,471,18964
2020-05-09,Erie County,116,4453,1231,26355
2020-05-09,Essex County,1,32,111,757
2020-05-09,Franklin County,0,17,50,623
2020-05-09,Fulton County,3,107,31,1154
2020-05-09,Genesee County,2,172,149,1625
2020-05-09,Greene County,2,206,44,1571
2020-05-09,Hamilton County,0,5,1,61
2020-05-09,Herkimer County,2,79,56,1219
2020-05-09,Jefferson County,1,68,64,2079
2020-05-09,Kings County,356,49817,3682,151739
2020-05-09,Lewis County,0,11,95,575
2020-05-09,Livingston County,1,102,58,1557
2020-05-09,Madison County,1,251,37,2108
2020-05-09,Monroe County,46,1821,1148,22554
2020-05-09,Montgomery County,1,67,33,1039
2020-05-09,Nassau County,189,38217,2260,116567
2020-05-09,New York County,96,23977,2336,90867
2020-05-09,Niagara County,16,643,359,5276
2020-05-09,Oneida County,22,660,329,5954
2020-05-09,Onondaga County,47,1265,507,15282
2020-05-09,Ontario County,2,106,109,2533
2020-05-09,Orange County,57,9543,535,34405
2020-05-09,Orleans County,4,126,41,939
2020-05-09,Oswego County,0,75,59,2033
2020-05-09,Otsego County,0,67,46,1781
2020-05-09,Putnam County,9,1089,155,5570
2020-05-09,Queens County,369,56862,3416,158079
2020-05-09,Rensselaer County,2,409,248,4824
2020-05-09,Richmond County,52,12702,717,40855
2020-05-09,Rockland County,51,12451,582,36950
2020-05-09,Saratoga County,3,402,183,6670
2020-05-09,Schenectady County,0,571,199,5852
2020-05-09,Schoharie County,0,46,23,838
2020-05-09,Schuyler County,0,7,31,565
2020-05-09,Seneca County,1,49,42,770
2020-05-09,St. Lawrence County,0,187,51,3508
2020-05-09,Steuben County,1,227,73,2924
2020-05-09,Suffolk County,241,36702,2556,113895
2020-05-09,Sullivan County,22,1093,115,4912
2020-05-09,Tioga County,1,105,31,1335
2020-05-09,Tompkins County,0,132,95,5088
2020-05-09,Ulster County,10,1450,210,10589
2020-05-09,Warren County,5,207,149,2047
2020-05-09,Washington County,2,206,60,1569
2020-05-09,Wayne County,1,80,101,2023
2020-05-09,Westchester County,207,31294,1940,111342
2020-05-09,Wyoming County,2,77,26,1078
2020-05-09,Yates County,1,21,27,415
2020-05-08,Albany County,32,1416,488,13731
2020-05-08,Allegany County,0,35,18,750
2020-05-08,Bronx County,271,40804,2873,114870
2020-05-08,Broome County,8,372,252,4605
2020-05-08,Cattaraugus County,1,60,54,1344
2020-05-08,Cayuga County,1,53,61,1173
2020-05-08,Chautauqua County,0,40,97,1657
2020-05-08,Chemung County,1,131,108,2463
2020-05-08,Chenango County,4,109,181,1281
2020-05-08,Clinton County,2,76,27,1058
2020-05-08,Columbia County,0,304,42,1947
2020-05-08,Cortland County,0,29,96,1437
2020-05-08,Delaware County,0,63,30,1009
2020-05-08,Dutchess County,42,3319,534,18493
2020-05-08,Erie County,82,4337,1049,25124
2020-05-08,Essex County,0,31,64,646
2020-05-08,Franklin County,0,17,24,573
2020-05-08,Fulton County,1,104,30,1123
2020-05-08,Genesee County,1,170,47,1476
2020-05-08,Greene County,5,204,45,1527
2020-05-08,Hamilton County,0,5,3,60
2020-05-08,Herkimer County,1,77,43,1163
2020-05-08,Jefferson County,1,67,47,2015
2020-05-08,Kings County,463,49461,4747,148057
2020-05-08,Lewis County,1,11,85,480
2020-05-08,Livingston County,1,101,49,1499
2020-05-08,Madison County,1,250,50,2071
2020-05-08,Monroe County,40,1775,1114,21406
2020-05-08,Montgomery County,2,66,36,1006
2020-05-08,Nassau County,216,38028,2390,114307
2020-05-08,New York County,151,23881,2633,88531
2020-05-08,Niagara County,22,627,273,4917
2020-05-08,Oneida County,18,638,296,5625
2020-05-08,Onondaga County,49,1218,464,14775
2020-05-08,Ontario County,0,104,69,2424
2020-05-08,Orange County,84,9486,690,33870
2020-05-08,Orleans County,1,122,29,898
2020-05-08,Oswego County,3,75,52,1974
2020-05-08,Otsego County,0,67,39,1735
2020-05-08,Putnam County,6,1080,161,5415
2020-05-08,Queens County,549,56493,4596,154663
2020-05-08,Rensselaer County,27,407,187,4576
2020-05-08,Richmond County,72,12650,832,40138
2020-05-08,Rockland County,51,12400,669,36368
2020-05-08,Saratoga County,11,399,179,6487
2020-05-08,Schenectady County,13,571,204,5653
2020-05-08,Schoharie County,1,46,32,815
2020-05-08,Schuyler County,0,7,38,534
2020-05-08,Seneca County,2,48,46,728
2020-05-08,St. Lawrence County,0,187,164,3457
2020-05-08,Steuben County,1,226,228,2851
2020-05-08,Suffolk County,238,36461,2227,111339
2020-05-08,Sullivan County,32,1071,143,4797
2020-05-08,Tioga County,5,104,83,1304
2020-05-08,Tompkins County,1,132,619,4993
2020-05-08,Ulster County,11,1440,195,10379
2020-05-08,Warren County,3,202,97,1898
2020-05-08,Washington County,3,204,86,1509
2020-05-08,Wayne County,0,79,63,1922
2020-05-08,Westchester County,182,31087,1936,109402
2020-05-08,Wyoming County,2,75,187,1052
2020-05-08,Yates County,0,20,24,388
2020-05-07,Albany County,36,1384,385,13243
2020-05-07,Allegany County,0,35,33,732
2020-05-07,Bronx County,352,40533,3078,111997
2020-05-07,Broome County,4,364,214,4353
2020-05-07,Cattaraugus County,0,59,36,1290
2020-05-07,Cayuga County,0,52,20,1112
2020-05-07,Chautauqua County,0,40,51,1560
2020-05-07,Chemung County,1,130,46,2355
2020-05-07,Chenango County,0,105,26,1100
2020-05-07,Clinton County,5,74,72,1031
2020-05-07,Columbia County,2,304,70,1905
2020-05-07,Cortland County,0,29,38,1341
2020-05-07,Delaware County,0,63,24,979
2020-05-07,Dutchess County,44,3277,482,17959
2020-05-07,Erie County,119,4255,1008,24075
2020-05-07,Essex County,1,31,69,582
2020-05-07,Franklin County,1,17,82,549
2020-05-07,Fulton County,2,103,27,1093
2020-05-07,Genesee County,1,169,62,1429
2020-05-07,Greene County,1,199,34,1482
2020-05-07,Hamilton County,0,5,4,57
2020-05-07,Herkimer County,2,76,55,1120
2020-05-07,Jefferson County,2,66,82,1968
2020-05-07,Kings County,448,48998,4582,143310
2020-05-07,Lewis County,0,10,20,395
2020-05-07,Livingston County,5,100,56,1450
2020-05-07,Madison County,3,249,95,2021
2020-05-07,Monroe County,47,1735,1042,20292
2020-05-07,Montgomery County,1,64,36,970
2020-05-07,Nassau County,219,37812,2050,111917
2020-05-07,New York County,201,23730,3036,85898
2020-05-07,Niagara County,17,605,257,4644
2020-05-07,Oneida County,11,620,323,5329
2020-05-07,Onondaga County,54,1169,407,14311
2020-05-07,Ontario County,3,104,108,2355
2020-05-07,Orange County,74,9402,842,33180
2020-05-07,Orleans County,13,121,62,869
2020-05-07,Oswego County,2,72,54,1922
2020-05-07,Otsego County,0,67,44,1696
2020-05-07,Putnam County,8,1074,121,5254
2020-05-07,Queens County,494,55944,3992,150067
2020-05-07,Rensselaer County,13,380,194,4389
2020-05-07,Richmond County,72,12578,672,39306
2020-05-07,Rockland County,69,12349,740,35699
2020-05-07,Saratoga County,14,388,174,6308
2020-05-07,Schenectady County,7,558,144,5449
2020-05-07,Schoharie County,0,45,15,783
2020-05-07,Schuyler County,0,7,9,496
2020-05-07,Seneca County,0,46,19,682
2020-05-07,St. Lawrence County,6,187,845,3293
2020-05-07,Steuben County,1,225,101,2623
2020-05-07,Suffolk County,331,36223,2357,109112
2020-05-07,Sullivan County,18,1039,90,4654
2020-05-07,Tioga County,2,99,40,1221
2020-05-07,Tompkins County,1,131,187,4374
2020-05-07,Ulster County,13,1429,276,10184
2020-05-07,Warren County,6,199,72,1801
2020-05-07,Washington County,11,201,106,1423
2020-05-07,Wayne County,1,79,95,1859
2020-05-07,Westchester County,197,30905,2224,107466
2020-05-07,Wyoming County,2,73,130,865
2020-05-07,Yates County,1,20,12,364
2020-05-06,Albany County,27,1348,407,12858
2020-05-06,Allegany County,0,35,40,699
2020-05-06,Bronx County,342,40181,2786,108919
2020-05-06,Broome County,15,360,333,4139
2020-05-06,Cattaraugus County,5,59,65,1254
2020-05-06,Cayuga County,1,52,25,1092
2020-05-06,Chautauqua County,2,40,80,1509
2020-05-06,Chemung County,1,129,89,2309
2020-05-06,Chenango County,3,105,50,1074
2020-05-06,Clinton County,0,69,22,959
2020-05-06,Columbia County,11,302,58,1835
2020-05-06,Cortland County,1,29,27,1303
2020-05-06,Delaware County,1,63,30,955
2020-05-06,Dutchess County,41,3233,438,17477
2020-05-06,Erie County,128,4136,1164,23067
2020-05-06,Essex County,0,30,15,513
2020-05-06,Franklin County,0,16,18,467
2020-05-06,Fulton County,1,101,30,1066
2020-05-06,Genesee County,6,168,98,1367
2020-05-06,Greene County,10,198,55,1448
2020-05-06,Hamilton County,0,5,0,53
2020-05-06,Herkimer County,6,74,65,1065
2020-05-06,Jefferson County,1,64,90,1886
2020-05-06,Kings County,576,48550,5284,138728
2020-05-06,Lewis County,1,10,25,375
2020-05-06,Livingston County,6,95,100,1394
2020-05-06,Madison County,15,246,204,1926
2020-05-06,Monroe County,33,1688,1088,19250
2020-05-06,Montgomery County,0,63,34,934
2020-05-06,Nassau County,243,37593,2658,109867
2020-05-06,New York County,272,23529,2966,82862
2020-05-06,Niagara County,39,588,282,4387
2020-05-06,Oneida County,30,609,375,5006
2020-05-06,Onondaga County,59,1115,534,13904
2020-05-06,Ontario County,2,101,121,2247
2020-05-06,Orange County,113,9328,1181,32338
2020-05-06,Orleans County,5,108,33,807
2020-05-06,Oswego County,0,70,48,1868
2020-05-06,Otsego County,0,67,43,1652
2020-05-06,Putnam County,26,1066,317,5133
2020-05-06,Queens County,570,55450,4505,146075
2020-05-06,Rensselaer County,20,367,159,4195
2020-05-06,Richmond County,105,12506,828,38634
2020-05-06,Rockland County,76,12280,852,34959
2020-05-06,Saratoga County,3,374,157,6134
2020-05-06,Schenectady County,0,551,194,5305
2020-05-06,Schoharie County,0,45,20,768
2020-05-06,Schuyler County,0,7,12,487
2020-05-06,Seneca County,0,46,24,663
2020-05-06,St. Lawrence County,1,181,53,2448
2020-05-06,Steuben County,1,224,66,2522
2020-05-06,Suffolk County,349,35892,2668,106755
2020-05-06,Sullivan County,25,1021,150,4564
2020-05-06,Tioga County,1,97,40,1181
2020-05-06,Tompkins County,1,130,188,4187
2020-05-06,Ulster County,33,1416,298,9908
2020-05-06,Warren County,0,193,44,1729
2020-05-06,Washington County,1,190,20,1317
2020-05-06,Wayne County,0,78,93,1764
2020-05-06,Westchester County,282,30708,2311,105242
2020-05-06,Wyoming County,1,71,22,735
2020-05-06,Yates County,0,19,13,352
2020-05-05,Albany County,27,1321,367,12451
2020-05-05,Allegany County,0,35,22,659
2020-05-05,Bronx County,363,39839,2657,106133
2020-05-05,Broome County,7,345,273,3806
2020-05-05,Cattaraugus County,1,54,47,1189
2020-05-05,Cayuga County,0,51,19,1067
2020-05-05,Chautauqua County,1,38,88,1429
2020-05-05,Chemung County,2,128,143,2220
2020-05-05,Chenango County,2,102,51,1024
2020-05-05,Clinton County,0,69,25,937
2020-05-05,Columbia County,62,291,188,1777
2020-05-05,Cortland County,0,28,33,1276
2020-05-05,Delaware County,0,62,30,925
2020-05-05,Dutchess County,41,3192,370,17039
2020-05-05,Erie County,117,4008,1498,21903
2020-05-05,Essex County,0,30,18,498
2020-05-05,Franklin County,0,16,15,449
2020-05-05,Fulton County,3,100,50,1036
2020-05-05,Genesee County,3,162,59,1269
2020-05-05,Greene County,22,188,84,1393
2020-05-05,Hamilton County,2,5,6,53
2020-05-05,Herkimer County,1,68,66,1000
2020-05-05,Jefferson County,0,63,50,1796
2020-05-05,Kings County,395,47974,3597,133444
2020-05-05,Lewis County,0,9,4,350
2020-05-05,Livingston County,3,89,52,1294
2020-05-05,Madison County,8,231,192,1722
2020-05-05,Monroe County,32,1655,842,18162
2020-05-05,Montgomery County,2,63,46,900
2020-05-05,Nassau County,198,37350,1765,107209
2020-05-05,New York County,203,23257,2499,79896
2020-05-05,Niagara County,41,549,353,4105
2020-05-05,Oneida County,5,579,234,4631
2020-05-05,Onondaga County,54,1056,731,13370
2020-05-05,Ontario County,2,99,105,2126
2020-05-05,Orange County,71,9215,509,31157
2020-05-05,Orleans County,4,103,36,774
2020-05-05,Oswego County,2,70,41,1820
2020-05-05,Otsego County,0,67,70,1609
2020-05-05,Putnam County,9,1040,96,4816
2020-05-05,Queens County,432,54880,3591,141570
2020-05-05,Rensselaer County,8,347,126,4036
2020-05-05,Richmond County,84,12401,702,37806
2020-05-05,Rockland County,60,12204,401,34107
2020-05-05,Saratoga County,3,371,173,5977
2020-05-05,Schenectady County,14,551,178,5111
2020-05-05,Schoharie County,0,45,29,748
2020-05-05,Schuyler County,0,7,31,475
2020-05-05,Seneca County,0,46,20,639
2020-05-05,St. Lawrence County,2,180,34,2395
2020-05-05,Steuben County,2,223,114,2456
2020-05-05,Suffolk County,268,35543,2112,104087
2020-05-05,Sullivan County,12,996,99,4414
2020-05-05,Tioga County,4,96,76,1141
2020-05-05,Tompkins County,0,129,104,3999
2020-05-05,Ulster County,26,1383,272,9610
2020-05-05,Warren County,1,193,22,1685
2020-05-05,Washington County,1,189,25,1297
2020-05-05,Wayne County,0,78,93,1671
2020-05-05,Westchester County,186,30426,1434,102931
2020-05-05,Wyoming County,0,70,42,713
2020-05-05,Yates County,0,19,13,339
2020-05-04,Albany County,7,1294,130,12084
2020-05-04,Allegany County,0,35,31,637
2020-05-04,Bronx County,253,39476,2001,103476
2020-05-04,Broome County,4,338,180,3533
2020-05-04,Cattaraugus County,0,53,14,1142
2020-05-04,Cayuga County,0,51,22,1048
2020-05-04,Chautauqua County,0,37,54,1341
2020-05-04,Chemung County,0,126,154,2077
2020-05-04,Chenango County,0,100,42,973
2020-05-04,Clinton County,1,69,27,912
2020-05-04,Columbia County,16,229,79,1589
2020-05-04,Cortland County,0,28,12,1243
2020-05-04,Delaware County,0,62,31,895
2020-05-04,Dutchess County,20,3151,307,16669
2020-05-04,Erie County,89,3891,779,20405
2020-05-04,Essex County,1,30,26,480
2020-05-04,Franklin County,0,16,11,434
2020-05-04,Fulton County,13,97,63,986
2020-05-04,Genesee County,0,159,47,1210
2020-05-04,Greene County,12,166,36,1309
2020-05-04,Hamilton County,0,3,1,47
2020-05-04,Herkimer County,4,67,29,934
2020-05-04,Jefferson County,0,63,13,1746
2020-05-04,Kings County,396,47579,3364,129847
2020-05-04,Lewis County,0,9,6,346
2020-05-04,Livingston County,1,86,52,1242
2020-05-04,Madison County,6,223,43,1530
2020-05-04,Monroe County,28,1623,721,17320
2020-05-04,Montgomery County,5,61,28,854
2020-05-04,Nassau County,187,37152,1822,105444
2020-05-04,New York County,154,23054,2246,77397
2020-05-04,Niagara County,15,508,198,3752
2020-05-04,Oneida County,24,574,247,4397
2020-05-04,Onondaga County,31,1002,176,12639
2020-05-04,Ontario County,1,97,86,2021
2020-05-04,Orange County,129,9144,869,30648
2020-05-04,Orleans County,2,99,15,738
2020-05-04,Oswego County,1,68,40,1779
2020-05-04,Otsego County,0,67,87,1539
2020-05-04,Putnam County,5,1031,87,4720
2020-05-04,Queens County,358,54448,2633,137979
2020-05-04,Rensselaer County,2,339,71,3910
2020-05-04,Richmond County,62,12317,573,37104
2020-05-04,Rockland County,49,12144,437,33706
2020-05-04,Saratoga County,1,368,115,5804
2020-05-04,Schenectady County,2,537,98,4933
2020-05-04,Schoharie County,0,45,29,719
2020-05-04,Schuyler County,0,7,5,444
2020-05-04,Seneca County,1,46,26,619
2020-05-04,St. Lawrence County,0,178,38,2361
2020-05-04,Steuben County,2,221,90,2342
2020-05-04,Suffolk County,198,35275,1586,101975
2020-05-04,Sullivan County,8,984,111,4315
2020-05-04,Tioga County,2,92,67,1065
2020-05-04,Tompkins County,0,129,52,3895
2020-05-04,Ulster County,3,1357,104,9338
2020-05-04,Warren County,0,192,34,1663
2020-05-04,Washington County,0,188,22,1272
2020-05-04,Wayne County,2,78,66,1578
2020-05-04,Westchester County,143,30240,1225,101497
2020-05-04,Wyoming County,1,70,24,671
2020-05-04,Yates County,0,19,7,326
2020-05-03,Albany County,29,1287,391,11954
2020-05-03,Allegany County,0,35,14,606
2020-05-03,Bronx County,307,39223,1869,101475
2020-05-03,Broome County,7,334,353,3353
2020-05-03,Cattaraugus County,0,53,7,1128
2020-05-03,Cayuga County,0,51,10,1026
2020-05-03,Chautauqua County,1,37,9,1287
2020-05-03,Chemung County,1,126,244,1923
2020-05-03,Chenango County,1,100,50,931
2020-05-03,Clinton County,2,68,21,885
2020-05-03,Columbia County,4,213,38,1510
2020-05-03,Cortland County,0,28,42,1231
2020-05-03,Delaware County,1,62,54,864
2020-05-03,Dutchess County,45,3131,370,16362
2020-05-03,Erie County,92,3802,760,19626
2020-05-03,Essex County,0,29,10,454
2020-05-03,Franklin County,1,16,15,423
2020-05-03,Fulton County,2,84,25,923
2020-05-03,Genesee County,4,159,48,1163
2020-05-03,Greene County,3,154,34,1273
2020-05-03,Hamilton County,0,3,2,46
2020-05-03,Herkimer County,1,63,41,905
2020-05-03,Jefferson County,1,63,82,1733
2020-05-03,Kings County,344,47183,2545,126483
2020-05-03,Lewis County,0,9,9,340
2020-05-03,Livingston County,2,85,26,1190
2020-05-03,Madison County,66,217,141,1487
2020-05-03,Monroe County,29,1595,914,16599
2020-05-03,Montgomery County,0,56,19,826
2020-05-03,Nassau County,185,36965,1736,103622
2020-05-03,New York County,159,22900,1524,75151
2020-05-03,Niagara County,19,493,318,3554
2020-05-03,Oneida County,61,550,241,4150
2020-05-03,Onondaga County,19,971,436,12463
2020-05-03,Ontario County,1,96,81,1935
2020-05-03,Orange County,48,9015,421,29779
2020-05-03,Orleans County,0,97,21,723
2020-05-03,Oswego County,1,67,44,1739
2020-05-03,Otsego County,0,67,36,1452
2020-05-03,Putnam County,13,1026,114,4633
2020-05-03,Queens County,450,54090,2696,135346
2020-05-03,Rensselaer County,15,337,148,3839
2020-05-03,Richmond County,60,12255,549,36531
2020-05-03,Rockland County,70,12095,476,33269
2020-05-03,Saratoga County,4,367,103,5689
2020-05-03,Schenectady County,8,535,126,4835
2020-05-03,Schoharie County,0,45,21,690
2020-05-03,Schuyler County,0,7,12,439
2020-05-03,Seneca County,0,45,19,593
2020-05-03,St. Lawrence County,1,178,85,2323
2020-05-03,Steuben County,1,219,70,2252
2020-05-03,Suffolk County,222,35077,1640,100389
2020-05-03,Sullivan County,25,976,106,4204
2020-05-03,Tioga County,0,90,50,998
2020-05-03,Tompkins County,0,129,126,3843
2020-05-03,Ulster County,13,1354,198,9234
2020-05-03,Warren County,4,192,53,1629
2020-05-03,Washington County,2,188,31,1250
2020-05-03,Wayne County,1,76,88,1512
2020-05-03,Westchester County,213,30097,1662,100272
2020-05-03,Wyoming County,0,69,16,647
2020-05-03,Yates County,0,19,9,319
2020-05-02,Albany County,20,1258,441,11563
2020-05-02,Allegany County,0,35,18,592
2020-05-02,Bronx County,466,38916,2857,99606
2020-05-02,Broome County,22,327,415,3000
2020-05-02,Cattaraugus County,3,53,54,1121
2020-05-02,Cayuga County,0,51,14,1016
2020-05-02,Chautauqua County,1,36,18,1278
2020-05-02,Chemung County,1,125,26,1679
2020-05-02,Chenango County,0,99,36,881
2020-05-02,Clinton County,4,66,33,864
2020-05-02,Columbia County,4,209,57,1472
2020-05-02,Cortland County,0,28,16,1189
2020-05-02,Delaware County,0,61,28,810
2020-05-02,Dutchess County,37,3086,434,15992
2020-05-02,Erie County,112,3710,799,18866
2020-05-02,Essex County,1,29,23,444
2020-05-02,Franklin County,0,15,9,408
2020-05-02,Fulton County,3,82,36,898
2020-05-02,Genesee County,0,155,25,1115
2020-05-02,Greene County,9,151,32,1239
2020-05-02,Hamilton County,0,3,1,44
2020-05-02,Herkimer County,1,62,29,864
2020-05-02,Jefferson County,0,62,48,1651
2020-05-02,Kings County,564,46839,3804,123938
2020-05-02,Lewis County,0,9,1,331
2020-05-02,Livingston County,7,83,52,1164
2020-05-02,Madison County,2,151,26,1346
2020-05-02,Monroe County,32,1566,571,15685
2020-05-02,Montgomery County,2,56,53,807
2020-05-02,Nassau County,261,36780,2194,101886
2020-05-02,New York County,245,22741,2214,73627
2020-05-02,Niagara County,17,474,184,3236
2020-05-02,Oneida County,15,489,149,3909
2020-05-02,Onondaga County,49,952,593,12027
2020-05-02,Ontario County,3,95,90,1854
2020-05-02,Orange County,57,8967,510,29358
2020-05-02,Orleans County,4,97,22,702
2020-05-02,Oswego County,0,66,37,1695
2020-05-02,Otsego County,0,67,42,1416
2020-05-02,Putnam County,10,1013,90,4519
2020-05-02,Queens County,601,53640,3755,132650
2020-05-02,Rensselaer County,11,322,170,3691
