testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-28,Wyoming County,0,82,66,2194
2020-05-28,Yates County,0,39,130,1230
2020-05-27,Albany County,18,1814,666,23067
2020-05-27,Allegany County,0,45,98,1660
2020-05-27,Bronx County,250,44753,5657,173813
2020-05-27,Broome County,17,545,523,13356
2020-05-27,Cattaraugus County,3,85,286,4146
2020-05-27,Cayuga County,4,84,101,3549
2020-05-27,Chautauqua County,3,81,129,3802
2020-05-27,Chemung County,0,136,63,5633
2020-05-27,Chenango County,1,126,139,3523
2020-05-27,Clinton County,0,95,201,3025
2020-05-27,Columbia County,0,380,145,3840
2020-05-27,Cortland County,0,39,34,3311
2020-05-27,Delaware County,0,78,213,2511
2020-05-27,Dutchess County,20,3867,911,28568
2020-05-27,Erie County,76,5886,2367,55782
2020-05-27,Essex County,0,36,85,2370
2020-05-27,Franklin County,0,20,157,2892
2020-05-27,Fulton County,2,200,223,2862
2020-05-27,Genesee County,2,197,177,3494
2020-05-27,Greene County,5,236,107,2594
2020-05-27,Hamilton County,0,5,3,415
2020-05-27,Herkimer County,1,106,442,3461
2020-05-27,Jefferson County,0,72,136,5195
2020-05-27,Kings County,368,55147,10938,247964
2020-05-27,Lewis County,0,20,34,1827
2020-05-27,Livingston County,0,118,129,3330
2020-05-27,Madison County,0,310,67,3959
2020-05-27,Monroe County,33,2824,1632,48177
2020-05-27,Montgomery County,0,82,341,2744
2020-05-27,Nassau County,106,40140,4664,163764
2020-05-27,New York County,134,26347,6888,154730
2020-05-27,Niagara County,12,984,502,12278
2020-05-27,Oneida County,30,959,927,15725
2020-05-27,Onondaga County,21,2054,817,33758
2020-05-27,Ontario County,3,201,246,5734
2020-05-27,Orange County,33,10325,1013,46277
2020-05-27,Orleans County,2,212,117,2112
2020-05-27,Oswego County,2,107,260,5310
2020-05-27,Otsego County,1,70,191,3397
2020-05-27,Putnam County,9,1236,425,8489
2020-05-27,Queens County,275,61400,9126,239292
2020-05-27,Rensselaer County,3,469,405,9159
2020-05-27,Richmond County,56,13404,1623,56110
2020-05-27,Rockland County,29,13076,1115,50066
2020-05-27,Saratoga County,3,468,292,11755
2020-05-27,Schenectady County,3,676,485,10977
2020-05-27,Schoharie County,0,49,74,1373
2020-05-27,Schuyler County,0,11,41,1321
2020-05-27,Seneca County,1,56,77,1825
2020-05-27,St. Lawrence County,1,201,227,8271
2020-05-27,Steuben County,0,241,132,5258
2020-05-27,Suffolk County,101,39359,4482,167917
2020-05-27,Sullivan County,11,1351,209,7465
2020-05-27,Tioga County,2,126,132,2815
2020-05-27,Tompkins County,1,156,110,9319
2020-05-27,Ulster County,13,1658,556,17434
2020-05-27,Warren County,1,253,116,4306
2020-05-27,Washington County,3,231,293,3166
2020-05-27,Wayne County,2,112,303,4637
2020-05-27,Westchester County,107,33293,3266,148651
2020-05-27,Wyoming County,0,82,77,2128
2020-05-27,Yates County,0,39,50,1100
2020-05-26,Albany County,3,1796,369,22401
2020-05-26,Allegany County,1,45,96,1562
2020-05-26,Bronx County,139,44503,3064,168156
2020-05-26,Broome County,6,528,369,12833
2020-05-26,Cattaraugus County,1,82,162,3860
2020-05-26,Cayuga County,2,80,117,3448
2020-05-26,Chautauqua County,1,78,145,3673
2020-05-26,Chemung County,0,136,295,5570
2020-05-26,Chenango County,2,125,122,3384
2020-05-26,Clinton County,0,95,51,2824
2020-05-26,Columbia County,7,380,62,3695
2020-05-26,Cortland County,0,39,82,3277
2020-05-26,Delaware County,1,78,205,2298
2020-05-26,Dutchess County,13,3847,423,27657
2020-05-26,Erie County,57,5810,1572,53415
2020-05-26,Essex County,0,36,71,2285
2020-05-26,Franklin County,0,20,84,2735
2020-05-26,Fulton County,2,198,112,2639
2020-05-26,Genesee County,2,195,84,3317
2020-05-26,Greene County,6,231,108,2487
2020-05-26,Hamilton County,0,5,1,412
2020-05-26,Herkimer County,2,105,328,3019
2020-05-26,Jefferson County,0,72,97,5059
2020-05-26,Kings County,219,54779,5940,237026
2020-05-26,Lewis County,0,20,22,1793
2020-05-26,Livingston County,0,118,69,3201
2020-05-26,Madison County,7,310,330,3892
2020-05-26,Monroe County,29,2791,1297,46545
2020-05-26,Montgomery County,2,82,47,2403
2020-05-26,Nassau County,60,40034,2390,159100
2020-05-26,New York County,121,26213,3599,147842
2020-05-26,Niagara County,7,972,247,11776
