id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36001,"Albany County, New York",126008,6903,5675,5346,5846,4792,5813,4978,5559,4747,9257,11982,16316,12123,8489,9349,8833,B19001,TBD
0500000US36007,"Broome County, New York",78594,5984,5000,4571,4255,4345,3927,3726,3474,3487,6486,7802,9773,6249,3968,3222,2325,B19001,TBD
0500000US36029,"Erie County, New York",387847,27586,22626,19156,20117,18635,18955,16601,17286,14399,29791,37790,48461,34921,22487,22083,16953,B19001,TBD
0500000US36053,"Madison County, New York",26026,1382,1029,1097,1245,1272,1236,1225,914,1184,2358,3164,3514,2644,1479,1285,998,B19001,TBD
0500000US36105,"Sullivan County, New York",27890,1695,1487,1604,1378,1376,1599,1349,1295,1084,1730,3056,3815,2228,1427,1620,1147,B19001,TBD
0500000US36037,"Genesee County, New York",23681,1241,1354,929,1111,1002,1257,1030,1147,899,1979,2623,3783,2163,1377,1125,661,B19001,TBD
0500000US36071,"Orange County, New York",126776,5905,5003,4685,4793,4328,4981,4608,4591,3866,8013,11287,16281,13608,11164,12577,11086,B19001,TBD
0500000US36005,"Bronx County, New York",499728,67371,49272,36283,29701,27065,25635,22829,23489,18085,36787,40519,47045,29488,16321,16847,12991,B19001,TBD
0500000US36035,"Fulton County, New York",22439,1242,1389,1248,1293,1427,1296,1093,1126,1044,2101,2451,2852,1674,900,809,494,B19001,TBD
0500000US36083,"Rensselaer County, New York",64563,3267,2725,2465,2662,2988,2968,2337,2744,2699,5051,6589,9127,6484,4698,4465,3294,B19001,TBD
