id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36001,"Albany County, New York",100436,4043,3741,3652,4226,3317,3781,3951,4515,3717,7388,9866,13736,10674,7698,8165,7966,B19001A,TBD
0500000US36007,"Broome County, New York",70726,4443,4291,3615,3553,3997,3640,3476,3192,3318,5876,7353,9117,5872,3773,3075,2135,B19001A,TBD
0500000US36029,"Erie County, New York",313205,14748,14550,13848,14642,14369,14372,13058,13659,11772,24694,32931,42555,31509,20952,20405,15141,B19001A,TBD
0500000US36053,"Madison County, New York",25258,1286,1007,1081,1221,1227,1214,1177,914,1158,2337,2937,3470,2610,1416,1244,959,B19001A,TBD
0500000US36105,"Sullivan County, New York",24119,1430,1288,1282,1103,1084,1333,1206,1012,961,1532,2701,3199,2036,1371,1497,1084,B19001A,TBD
0500000US36037,"Genesee County, New York",22013,1109,1148,864,1052,855,954,978,1070,836,1843,2481,3634,2122,1360,1094,613,B19001A,TBD
0500000US36071,"Orange County, New York",97268,3874,3714,3360,3699,3185,3434,3299,3257,3050,6013,7913,13153,10993,8865,10031,9428,B19001A,TBD
0500000US36005,"Bronx County, New York",118460,13162,10494,8079,6973,5380,5528,4129,4423,3894,7846,9966,12022,8760,5186,6434,6184,B19001A,TBD
0500000US36035,"Fulton County, New York",21714,1174,1335,1158,1210,1340,1291,1078,1118,1044,2078,2378,2795,1629,843,780,463,B19001A,TBD
0500000US36083,"Rensselaer County, New York",57712,2398,2153,1927,2404,2630,2402,2092,2406,2358,4455,6089,8430,6130,4394,4196,3248,B19001A,TBD
0500000US36027,"Dutchess County, New York",89472,3250,3468,2637,3025,3007,2984,2969,2688,2927,6132,8279,12330,10604,7186,9074,8912,B19001A,TBD
0500000US36043,"Herkimer County, New York",24073,1264,1297,1451,1270,1486,1299,1133,1312,1072,2072,2776,3341,2035,954,851,460,B19001A,TBD
0500000US36089,"St. Lawrence County, New York",40582,2456,2922,2715,2416,2201,2257,1958,2062,1506,3498,3995,5296,3315,1637,1340,1008,B19001A,TBD
0500000US36113,"Warren County, New York",26743,1167,1245,1239,1220,1314,1246,1160,1304,1143,2280,2844,3738,2811,1636,1340,1056,B19001A,TBD
0500000US36055,"Monroe County, New York",240610,11167,9394,10114,10301,10953,11093,10325,10942,9169,18793,24950,32478,25498,15448,16250,13735,B19001A,TBD
0500000US36111,"Ulster County, New York",62833,2860,3343,2895,2543,2789,2615,2589,2452,2171,4558,6837,8060,6269,4305,4540,4007,B19001A,TBD
0500000US36051,"Livingston County, New York",23470,1147,1174,1305,1175,943,1112,1227,1163,1093,1968,2646,3265,2550,1123,1039,540,B19001A,TBD
0500000US36039,"Greene County, New York",16487,974,1152,870,821,1026,866,710,758,640,1391,1546,2310,1424,729,760,510,B19001A,TBD
0500000US36003,"Allegany County, New York",17656,1154,1088,1122,1164,838,974,938,1153,1039,1436,1992,2230,1264,637,372,255,B19001A,TBD
0500000US36009,"Cattaraugus County, New York",29665,1686,2080,1807,1937,1677,1750,1537,1565,1290,2658,3066,3789,2215,1264,801,543,B19001A,TBD
0500000US36093,"Schenectady County, New York",43824,1633,2019,1767,1848,1704,1709,1608,1857,1689,3207,4697,6299,5185,3011,3205,2386,B19001A,TBD
0500000US36123,"Yates County, New York",8882,485,402,572,474,433,539,434,384,438,669,857,1187,848,388,472,300,B19001A,TBD
