id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36035,"Fulton County, New York",194,19,20,18,2,32,0,0,0,0,16,6,0,9,43,29,0,B19001G,TBD
0500000US36083,"Rensselaer County, New York",1124,86,132,68,22,78,76,34,71,17,173,73,130,82,11,68,3,B19001G,TBD
0500000US36027,"Dutchess County, New York",1666,59,197,34,54,183,121,36,69,32,168,225,122,127,59,64,116,B19001G,TBD
0500000US36043,"Herkimer County, New York",184,0,19,26,6,11,58,0,12,23,0,3,24,0,2,0,0,B19001G,TBD
0500000US36089,"St. Lawrence County, New York",295,52,36,32,7,9,2,24,7,9,16,24,52,1,10,13,1,B19001G,TBD
0500000US36113,"Warren County, New York",246,59,0,28,9,17,10,6,0,12,58,0,4,21,22,0,0,B19001G,TBD
0500000US36055,"Monroe County, New York",4959,659,424,448,246,168,322,144,265,251,359,408,380,367,124,282,112,B19001G,TBD
0500000US36111,"Ulster County, New York",1589,106,84,79,116,39,96,57,83,121,172,171,145,43,83,84,110,B19001G,TBD
0500000US36051,"Livingston County, New York",191,13,93,0,0,8,0,9,0,5,32,7,0,18,6,0,0,B19001G,TBD
0500000US36039,"Greene County, New York",87,20,0,0,0,0,0,31,0,0,0,0,17,17,2,0,0,B19001G,TBD
0500000US36003,"Allegany County, New York",99,2,21,11,7,8,0,13,0,1,0,27,6,0,3,0,0,B19001G,TBD
0500000US36009,"Cattaraugus County, New York",352,12,37,45,28,26,42,12,5,17,16,19,59,7,13,14,0,B19001G,TBD
0500000US36093,"Schenectady County, New York",1362,159,121,47,109,162,87,37,47,66,53,87,169,117,33,25,43,B19001G,TBD
0500000US36123,"Yates County, New York",33,0,0,0,3,0,0,10,4,4,1,6,5,0,0,0,0,B19001G,TBD
