,County,overall_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,other_population,hispanic_latino_population,County_median_income,asian_median_income,black_median_income,hispanic_median_income,native_american_median_income,other_median_income,pacific_islander_median_income,white_median_income,identified_county,covid_date,covid_deaths,covid_cases,covid%ofpopulation,covid_death_%,covid_cases_%
32,Oneida,230782,197739,14398,491,9184,63,8907,230782,Oneida,35767.0,27389.0,27135.0,36576.0,56816.0,,113316.0,Oneida,5/22/2020,41.0,828.0,1.0,0.0,0.0
33,Onondaga,464242,370976,52888,2389,17130,116,20743,464242,Onondaga,46613.0,31623.0,36629.0,39747.0,73268.0,,130387.0,Onondaga,5/22/2020,96.0,1828.0,2.0,0.0,1.0
34,Ontario,109472,101467,2770,487,1455,37,3256,109472,Ontario,85905.0,32037.0,35773.0,75850.0,70891.0,,130107.0,Ontario,5/22/2020,9.0,180.0,1.0,0.0,0.0
35,Orange,378227,279802,40849,1308,10034,229,46005,378227,Orange,95757.0,66549.0,64366.0,67917.0,120061.0,,164116.0,Orange,5/22/2020,360.0,10142.0,2.0,1.0,3.0
36,Orleans,41175,36583,2541,151,326,21,1553,41175,Orleans,108000.0,45938.0,22475.0,,,,105555.0,Orleans,5/22/2020,27.0,175.0,0.0,0.0,0.0
37,Oswego,119104,113885,1325,190,882,16,2806,119104,Oswego,63875.0,,24792.0,,,,108291.0,Oswego,5/22/2020,2.0,96.0,1.0,0.0,0.0
38,Otsego,60244,56254,1245,92,829,5,1819,60244,Otsego,53750.0,42772.0,51146.0,53125.0,,,106718.0,Otsego,5/22/2020,4.0,67.0,0.0,0.0,0.0
39,Putnam,99070,86904,2881,205,2019,24,7037,99070,Putnam,122083.0,98875.0,77240.0,55739.0,166938.0,,209129.0,Putnam,5/22/2020,58.0,1187.0,1.0,0.0,0.0
40,Queens,2298513,896722,421038,9977,580709,1100,388967,2298513,Queens,62230.0,66562.0,57281.0,52410.0,124856.0,56585.0,143947.0,Queens,5/22/2020,6058.0,60236.0,12.0,21.0,17.0
41,Rensselaer,159431,137648,10239,212,4134,9,7189,159431,Rensselaer,65538.0,31610.0,36953.0,33450.0,81058.0,,138542.0,Rensselaer,5/22/2020,25.0,460.0,1.0,0.0,0.0
42,Richmond,474101,352259,48591,1080,41427,197,30547,474101,Richmond,80016.0,46065.0,58677.0,70294.0,119939.0,,174124.0,Richmond,5/22/2020,916.0,13171.0,2.0,3.0,4.0
43,Rockland,323686,228967,39715,544,19216,33,35211,323686,Rockland,119367.0,76649.0,67301.0,150341.0,139044.0,,190154.0,Rockland,5/22/2020,487.0,12905.0,2.0,2.0,4.0
44,St. Lawrence,109558,101766,2642,828,1153,68,3101,109558,St. Lawrence,48583.0,75500.0,56042.0,,91445.0,,98684.0,St. Lawrence,5/22/2020,2.0,195.0,1.0,0.0,0.0
45,Saratoga,227377,211245,3960,472,6478,37,5185,227377,Saratoga,104057.0,68675.0,87311.0,108125.0,178403.0,,159835.0,Saratoga,5/22/2020,14.0,448.0,1.0,0.0,0.0
46,Schenectady,154883,119664,15965,351,7187,66,11650,154883,Schenectady,66726.0,31813.0,40604.0,54135.0,82169.0,,138807.0,Schenectady,5/22/2020,26.0,645.0,1.0,0.0,0.0
47,Schoharie,31364,30007,541,49,280,13,474,31364,Schoharie,96429.0,63750.0,63438.0,,99167.0,,107570.0,Schoharie,5/22/2020,2.0,49.0,0.0,0.0,0.0
48,Schuyler,17992,17353,224,31,107,0,277,17992,Schuyler,,,,44643.0,,,102975.0,Schuyler,5/22/2020,0.0,11.0,0.0,0.0,0.0
49,Seneca,34612,31669,1707,135,242,0,859,34612,Seneca,,36094.0,35172.0,,60636.0,,111715.0,Seneca,5/22/2020,1.0,54.0,0.0,0.0,0.0
50,Steuben,96927,92017,1553,102,1484,15,1756,96927,Steuben,95446.0,45045.0,58125.0,37813.0,,,102846.0,Steuben,5/22/2020,27.0,240.0,0.0,0.0,0.0
51,Suffolk,1487901,1200553,116880,3967,57527,451,108523,1487901,Suffolk,106250.0,76115.0,81481.0,77232.0,167372.0,92100.0,200271.0,Suffolk,5/22/2020,1814.0,38672.0,8.0,6.0,11.0
52,Sullivan,75211,60702,6297,191,1198,0,6823,75211,Sullivan,95625.0,40198.0,41589.0,63300.0,81569.0,,119100.0,Sullivan,5/22/2020,28.0,1287.0,0.0,0.0,0.0
53,Tioga,49045,47371,322,91,346,18,897,49045,Tioga,37629.0,71477.0,65556.0,90265.0,80753.0,,122204.0,Tioga,5/22/2020,17.0,118.0,0.0,0.0,0.0
54,Tompkins,102962,82924,4272,224,10386,31,5125,102962,Tompkins,31236.0,29674.0,40216.0,90313.0,,,128894.0,Tompkins,5/22/2020,0.0,147.0,1.0,0.0,0.0
55,Ulster,179303,152289,10615,368,3452,131,12448,179303,Ulster,64554.0,32085.0,47837.0,,90834.0,,131935.0,Ulster,5/22/2020,70.0,1595.0,1.0,0.0,0.0
56,Warren,64480,61797,852,168,677,32,954,64480,Warren,61653.0,74028.0,,45476.0,49189.0,,120479.0,Warren,5/22/2020,27.0,246.0,0.0,0.0,0.0
57,Washington,61828,57974,2025,197,347,0,1285,61828,Washington,83224.0,,42679.0,,128118.0,,108114.0,Washington,5/22/2020,14.0,224.0,0.0,0.0,0.0
58,Wayne,90856,84701,2631,144,606,78,2696,90856,Wayne,89205.0,27692.0,50195.0,52159.0,95595.0,,112414.0,Wayne,5/22/2020,2.0,104.0,0.0,0.0,0.0
59,Westchester,968815,630592,142443,4059,57410,262,134049,968815,Westchester,127005.0,59181.0,59511.0,56745.0,141431.0,103523.0,223275.0,Westchester,5/22/2020,1319.0,32767.0,5.0,5.0,9.0
60,Wyoming,40565,37162,1837,228,155,0,1183,40565,Wyoming,,47639.0,36250.0,,,,116259.0,Wyoming,5/22/2020,5.0,79.0,0.0,0.0,0.0
61,Yates,25009,24061,226,53,189,7,473,25009,Yates,33438.0,,,,100938.0,,109816.0,Yates,5/22/2020,6.0,34.0,0.0,0.0,0.0
62,New York city,8443713,3603057,2049418,36075,1177700,4339,1573124,8443713,,,,,,,,,,,,,,,
