id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36005,"Bronx County, New York",169890,26269,19898,15073,11988,10084,9327,8721,8353,6780,12429,11766,13951,7357,3248,3014,1632,B19001F,TBD
0500000US36035,"Fulton County, New York",160,12,0,72,0,47,0,15,0,0,0,0,0,0,14,0,0,B19001F,TBD
0500000US36083,"Rensselaer County, New York",529,62,19,64,17,29,16,106,11,8,20,84,69,23,0,1,0,B19001F,TBD
0500000US36027,"Dutchess County, New York",3083,123,126,134,323,301,188,193,99,110,132,285,420,230,218,135,66,B19001F,TBD
0500000US36043,"Herkimer County, New York",26,0,0,0,0,0,4,0,2,0,0,0,16,0,4,0,0,B19001F,TBD
0500000US36089,"St. Lawrence County, New York",108,30,0,0,1,0,0,9,0,12,12,0,16,13,4,0,11,B19001F,TBD
0500000US36113,"Warren County, New York",74,0,49,0,0,7,0,0,0,0,0,8,0,5,5,0,0,B19001F,TBD
0500000US36055,"Monroe County, New York",4112,574,511,319,243,267,345,236,155,193,227,307,403,205,37,38,52,B19001F,TBD
0500000US36111,"Ulster County, New York",1176,58,58,113,60,151,58,131,14,60,68,109,173,52,15,27,29,B19001F,TBD
0500000US36051,"Livingston County, New York",194,25,0,6,0,4,47,31,0,0,19,7,45,0,0,3,7,B19001F,TBD
0500000US36039,"Greene County, New York",74,0,0,14,0,0,0,0,0,8,7,31,9,0,0,5,0,B19001F,TBD
0500000US36003,"Allegany County, New York",6,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,B19001F,TBD
0500000US36009,"Cattaraugus County, New York",93,5,0,9,0,8,36,0,7,6,18,0,4,0,0,0,0,B19001F,TBD
0500000US36093,"Schenectady County, New York",1365,64,152,118,61,53,74,57,58,83,228,132,218,45,14,8,0,B19001F,TBD
0500000US36123,"Yates County, New York",60,10,0,0,0,0,0,0,0,16,8,4,22,0,0,0,0,B19001F,TBD
