id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36071,"Orange County, New York",20763,1385,805,1010,791,717,916,1087,888,731,1369,1873,2389,1955,1752,1976,1119,B19001I,TBD
0500000US36005,"Bronx County, New York",266192,40532,30184,22130,18194,14918,14396,12949,12020,9929,19022,19890,22611,13039,6072,6241,4065,B19001I,TBD
0500000US36035,"Fulton County, New York",405,28,34,82,25,61,2,15,4,27,57,5,19,9,19,12,6,B19001I,TBD
0500000US36083,"Rensselaer County, New York",2241,299,128,135,73,183,133,273,11,59,230,146,177,172,138,42,42,B19001I,TBD
0500000US36027,"Dutchess County, New York",9059,443,414,361,610,630,380,240,298,358,686,789,1215,861,755,622,397,B19001I,TBD
0500000US36043,"Herkimer County, New York",269,32,3,51,9,16,4,0,2,0,59,26,62,0,5,0,0,B19001I,TBD
0500000US36089,"St. Lawrence County, New York",235,34,16,6,4,3,12,1,0,19,57,17,24,13,6,11,12,B19001I,TBD
0500000US36113,"Warren County, New York",483,2,74,32,128,27,9,0,0,4,11,127,8,35,9,14,3,B19001I,TBD
0500000US36055,"Monroe County, New York",19697,3023,2240,1596,1243,1369,1089,980,900,716,1445,1246,1696,943,321,569,321,B19001I,TBD
0500000US36111,"Ulster County, New York",4212,247,358,173,238,291,219,313,160,216,286,431,521,186,234,219,120,B19001I,TBD
0500000US36051,"Livingston County, New York",513,65,51,48,21,21,0,31,24,41,26,71,86,11,7,3,7,B19001I,TBD
0500000US36039,"Greene County, New York",618,6,93,24,0,109,12,0,103,8,39,82,46,77,19,0,0,B19001I,TBD
0500000US36003,"Allegany County, New York",41,8,2,16,1,1,2,0,0,0,4,3,2,2,0,0,0,B19001I,TBD
0500000US36009,"Cattaraugus County, New York",308,14,18,25,9,24,68,36,13,6,15,10,23,28,0,19,0,B19001I,TBD
0500000US36093,"Schenectady County, New York",2937,295,316,297,189,109,59,168,223,94,242,152,376,162,66,57,132,B19001I,TBD
0500000US36123,"Yates County, New York",134,42,9,0,5,0,0,23,0,0,8,7,31,0,0,9,0,B19001I,TBD
