"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36119","Westchester County, New York","347332","1340","16308","967","11298","889","10933","802","12113","854","11359","778","10774","686","10229","750","9649","718","9284","735","20246","984","25493","1038","34986","1248","31771","1050","25483","909","34655","1334","72751","1280"
"0500000US36025","Delaware County, New York","19030","493","1193","190","1315","208","1241","201","1263","239","1061","143","982","141","821","159","1052","157","815","155","1746","262","2110","235","2239","248","1360","201","888","160","514","112","430","105"
"0500000US36031","Essex County, New York","15425","456","669","132","835","202","872","198","656","134","868","167","719","144","726","140","739","138","619","141","1507","215","1693","220","2179","259","1299","208","926","169","673","160","445","96"
"0500000US36057","Montgomery County, New York","19665","373","1470","230","1278","205","1248","192","1401","187","1357","203","963","156","1034","187","968","158","754","133","1676","223","2112","224","2123","196","1395","198","710","144","789","154","387","114"
"0500000US36059","Nassau County, New York","445517","1252","12755","675","9462","725","10320","680","11355","677","11463","661","10598","705","10356","684","11600","676","9455","671","20290","1006","31779","1169","51197","1515","46444","1332","41069","1285","61971","1600","95403","1599"
"0500000US36085","Richmond County, New York","166152","810","13395","773","6336","538","5827","530","5589","501","5583","553","5121","550","4558","531","5133","476","4849","561","9620","710","13138","844","20844","925","17320","895","14181","798","18179","971","16479","789"
"0500000US36097","Schuyler County, New York","7304","231","361","119","394","86","571","101","412","79","256","70","389","82","382","81","357","114","417","117","497","102","796","140","1168","188","659","134","325","84","221","70","99","45"
"0500000US36109","Tompkins County, New York","39326","484","3934","441","1926","352","1546","272","1598","282","1763","284","2090","235","1356","197","1614","247","1246","210","3050","351","3988","386","4836","448","3086","368","2221","292","2306","312","2766","317"
"0500000US36017","Chenango County, New York","20616","341","1161","174","1353","213","1305","212","1241","176","1151","163","1083","171","1054","148","1017","147","814","128","1782","188","2465","247","2693","261","1592","219","758","105","697","111","450","114"
"0500000US36023","Cortland County, New York","17685","313","812","177","1148","222","763","150","939","218","786","149","917","162","853","172","846","152","1047","194","1501","205","1846","223","2556","250","1348","152","937","154","847","125","539","114"
"0500000US36045","Jefferson County, New York","43267","740","2752","325","2149","318","1915","243","2171","300","2378","328","2415","347","2168","292","2495","321","2198","392","3955","362","4881","363","6096","477","3365","346","2031","220","1307","160","991","159"
