"GEO_ID","NAME","B08522_001E","B08522_001M","B08522_002E","B08522_002M","B08522_003E","B08522_003M","B08522_004E","B08522_004M","B08522_005E","B08522_005M","B08522_006E","B08522_006M","B08522_007E","B08522_007M","B08522_008E","B08522_008M","B08522_009E","B08522_009M","B08522_010E","B08522_010M","B08522_011E","B08522_011M","B08522_012E","B08522_012M","B08522_013E","B08522_013M","B08522_014E","B08522_014M","B08522_015E","B08522_015M","B08522_016E","B08522_016M","B08522_017E","B08522_017M","B08522_018E","B08522_018M","B08522_019E","B08522_019M","B08522_020E","B08522_020M","B08522_021E","B08522_021M","B08522_022E","B08522_022M","B08522_023E","B08522_023M","B08522_024E","B08522_024M","B08522_025E","B08522_025M","B08522_026E","B08522_026M","B08522_027E","B08522_027M","B08522_028E","B08522_028M"
"0500000US36041","Hamilton County, New York","1580","154","82","27","79","38","1419","158","1246","130","63","23","61","31","1122","129","107","40","9","9","1","2","97","41","3","6","2","6","0","11","1","2","80","47","5","11","0","11","75","47","80","60","3","3","0","11","77","59","64","27","0","11","17","21","47","22"
"0500000US36115","Washington County, New York","17997","852","927","245","1117","246","15953","779","14430","756","549","143","755","181","13126","724","1190","234","153","89","99","62","938","204","250","121","99","97","13","39","138","71","775","155","23","17","119","65","633","153","165","63","38","45","14","14","113","53","1187","227","65","43","117","67","1005","222"
"0500000US36013","Chautauqua County, New York","53871","910","4247","342","3963","402","45661","860","44038","977","2788","274","2896","333","38354","936","4889","455","538","146","539","137","3812","431","180","77","17","23","52","47","111","49","2126","313","526","153","293","92","1307","240","648","152","129","55","80","49","439","134","1990","278","249","118","103","57","1638","239"
"0500000US36047","Kings County, New York","865473","4898","80397","2078","68274","2003","716802","5191","264516","3396","12544","680","12237","745","239735","3421","52708","1733","3606","440","3500","457","45602","1766","369375","3763","37782","1564","34777","1498","296816","3538","99423","2501","18331","1148","12028","672","69064","2117","27464","1236","2545","338","2476","330","22443","1124","51987","1432","5589","508","3256","437","43142","1357"
"0500000US36061","New York County, New York","2560050","10785","125032","2932","114996","3044","2320022","10738","252171","4213","7622","638","8466","831","236083","3936","58414","2012","2037","364","3197","490","53180","1856","1940981","9527","98273","2574","90427","2677","1752281","9449","182697","3982","10829","1023","8152","929","163716","3774","65824","2512","2728","400","1907","381","61189","2441","59963","2124","3543","494","2847","562","53573","2032"
"0500000US36107","Tioga County, New York","14756","552","781","205","824","189","13151","532","12172","477","544","146","592","164","11036","497","1351","200","179","97","48","37","1124","170","31","23","0","24","14","16","17","17","386","101","24","20","135","86","227","82","181","72","10","13","20","22","151","64","635","142","24","22","15","22","596","139"
"0500000US36011","Cayuga County, New York","27490","765","1606","252","2021","308","23863","784","22656","724","1086","208","1264","221","20306","725","1806","237","84","45","130","73","1592","228","177","90","32","53","102","67","43","30","1258","259","224","91","313","118","721","183","423","124","75","62","59","48","289","106","1170","156","105","51","153","67","912","127"
"0500000US36073","Orleans County, New York","13737","753","856","228","1037","291","11844","725","10913","730","476","127","672","179","9765","713","1243","214","126","83","129","66","988","190","100","89","0","24","3","6","97","89","478","136","85","57","83","79","310","100","439","212","95","78","106","114","238","142","564","130","74","59","44","40","446","119"
"0500000US36091","Saratoga County, New York","94704","1834","3144","403","3789","447","87771","1757","77801","1746","2372","338","2848","381","72581","1623","7528","727","377","127","435","153","6716","732","433","155","5","7","45","41","383","152","1839","335","153","101","98","64","1588","332","751","193","91","65","111","92","549","192","6352","542","146","71","252","127","5954","512"
"0500000US36087","Rockland County, New York","116593","2173","9220","877","6761","712","100612","2174","85086","1913","3860","509","3629","497","77597","1974","12073","836","1628","382","921","262","9524","732","5316","609","1054","271","603","166","3659","533","4542","416","1702","234","745","239","2095","290","2405","366","404","136","328","127","1673","304","7171","531","572","172","535","205","6064","482"
"0500000US36021","Columbia County, New York","23963","864","1460","225","1326","248","21177","829","18610","789","796","172","838","205","16976","732","1736","276","194","93","184","77","1358","238","177","102","43","56","37","36","97","74","1179","190","281","103","113","75","785","161","283","109","60","43","45","49","178","80","1978","281","86","38","109","68","1783","262"
"0500000US36049","Lewis County, New York","8607","354","827","207","491","91","7289","376","6533","361","457","129","307","71","5769","365","794","152","132","85","68","34","594","141","77","59","0","21","4","6","73","58","553","162","150","115","33","20","370","90","86","30","13","15","0","21","73","28","564","144","75","58","79","42","410","115"
"0500000US36063","Niagara County, New York","75980","1571","4999","498","4753","494","66228","1683","64012","1529","3510","460","3552","435","56950","1579","5300","547","491","144","463","134","4346","507","1139","241","249","101","158","124","732","189","1663","279","318","130","231","107","1114","207","1183","246","268","125","124","68","791","196","2683","361","163","85","225","106","2295","312"
