"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","53989","2361"
"0500000US36067","Onondaga County, New York","59225","834"
"0500000US36019","Clinton County, New York","55178","2165"
"0500000US36099","Seneca County, New York","54695","2055"
"0500000US36079","Putnam County, New York","102186","2501"
"0500000US36033","Franklin County, New York","51696","2339"
"0500000US36069","Ontario County, New York","63359","1753"
"0500000US36081","Queens County, New York","64987","663"
"0500000US36101","Steuben County, New York","51789","1417"
"0500000US36041","Hamilton County, New York","57552","2633"
"0500000US36115","Washington County, New York","54114","2455"
"0500000US36013","Chautauqua County, New York","45332","1182"
"0500000US36047","Kings County, New York","56015","536"
"0500000US36061","New York County, New York","82459","951"
"0500000US36107","Tioga County, New York","60736","1624"
"0500000US36011","Cayuga County, New York","56579","1673"
"0500000US36073","Orleans County, New York","51843","2175"
"0500000US36091","Saratoga County, New York","80839","1798"
"0500000US36087","Rockland County, New York","91108","2046"
"0500000US36021","Columbia County, New York","63032","2254"
"0500000US36049","Lewis County, New York","52380","1891"
"0500000US36063","Niagara County, New York","54085","1268"
"0500000US36119","Westchester County, New York","92758","1422"
"0500000US36025","Delaware County, New York","48827","1720"
"0500000US36031","Essex County, New York","56196","2091"
"0500000US36057","Montgomery County, New York","45837","2770"
"0500000US36059","Nassau County, New York","111240","1180"
"0500000US36085","Richmond County, New York","79267","1450"
"0500000US36097","Schuyler County, New York","51479","3128"
"0500000US36109","Tompkins County, New York","58743","1600"
"0500000US36017","Chenango County, New York","50595","1427"
"0500000US36023","Cortland County, New York","54489","1872"
"0500000US36045","Jefferson County, New York","52268","1528"
"0500000US36065","Oneida County, New York","53844","871"
"0500000US36103","Suffolk County, New York","96675","887"
"0500000US36121","Wyoming County, New York","57914","1921"
"0500000US36015","Chemung County, New York","53299","1328"
"0500000US36075","Oswego County, New York","53597","1386"
"0500000US36077","Otsego County, New York","53121","1287"
"0500000US36117","Wayne County, New York","55765","1620"
"0500000US36001","Albany County, New York","64535","1279"
"0500000US36007","Broome County, New York","50859","1227"
"0500000US36029","Erie County, New York","55673","604"
"0500000US36053","Madison County, New York","60228","1612"
"0500000US36105","Sullivan County, New York","56256","2896"
"0500000US36037","Genesee County, New York","59338","2493"
"0500000US36071","Orange County, New York","76716","1429"
"0500000US36005","Bronx County, New York","38085","525"
"0500000US36035","Fulton County, New York","50248","1597"
"0500000US36083","Rensselaer County, New York","65851","1775"
"0500000US36027","Dutchess County, New York","78028","1324"
"0500000US36043","Herkimer County, New York","51862","2041"
"0500000US36089","St. Lawrence County, New York","49305","1513"
"0500000US36113","Warren County, New York","59813","2104"
"0500000US36055","Monroe County, New York","57479","734"
"0500000US36111","Ulster County, New York","63348","1313"
"0500000US36051","Livingston County, New York","56071","1875"
"0500000US36039","Greene County, New York","53617","2813"
"0500000US36003","Allegany County, New York","47033","1420"
"0500000US36009","Cattaraugus County, New York","47240","1386"
"0500000US36093","Schenectady County, New York","63785","1727"
"0500000US36123","Yates County, New York","54343","3383"
